"","f0101","f0102","f04","f05","f06","f07","f0801","f0802","f0803","f0804","f0805","f0806","f0807","f0808","f0809","f0810","f0811","f0812","f0813","f0814","f0815","f0816","f0817","f0818","f0819","f0820","f0821","f0822","f0823","f0824","f0825","f0826","f0827","f0828","f0901","f0902","f0903","f1001","f1002","f1003","f1004","f11","f12","f14","f15","f1603","f1801","f180201","f180202","Mig","f22","f0201new","f0202new","f0203new","f03new","f1601","f1602","f20"
"1",NA,NA,"9","1","1","1","4","2","1","3","2","4","3","3","4","3","2","3","4","2","3","4","3","2","4","4","2","4","4","2","3","4","4",NA,"1","0","0","1","0","0","0","2","2","1","5",NA,"1","1","2","1","1","0","4","5","1",1,NA,19
"2","2","1","6","5","2","6","2","4","3","2","3","1","4","1","4","2","2","4","2","2","4",NA,"1",NA,"3","2","2","2","1","1","1","1","3","2","0","0","1","0","0","1","0","1","2","1","5",NA,"1","1","1","2","1","0","5","5","1",1,NA,19
"3","2","2","5","3","1","5","1","4","2","3","2","1","2","2","4","2","2","3","1","3","4","4","4","4","4","2","2","1","2","2","1","1","2","1","1","1","0","1","1","0","0","2","1","1","5","1","1","1","1","2","5","1","5","3","1",3,0,19
"4","2","3","11","4","2","5","2","4","4","4","3","1","3","3","4","2","2","2","1","3","3","4","4","4","4","3","3","4","2","3","2","1","2","2","1","1","0","0","1","1","0","1","2","1","5","1","1","2","2","1","1","1","4","5","1",3,0,19
"5","2","3","2","4","2","2","2","2","2","4","1","1","3","2","4","2","3","3","2",NA,"3","4","4","4","4","2","2","2","3","3","2","1","2","3","1","1","1","1","0","0","0","2","1","1","5","1","1","2","2","1","1","1","4","4","1",3,0,19
"6","2","1","9","5","1","5","2","3","2","2","2","2","3","2","3","2","3","3","2","3","3","4","4","4","2","2","2","2","3","3","2","3","3","2","1","1","1","1","1","1","0","2","2","1","5","1","1","1","1","2","2","0","4","5","1",3,0,19
"7",NA,NA,"9","6","1","6","3","3","3","4","2","1","4","3","3","2","1","2","2","3","3","4","4","4","3","2","2","2","2","3","2","2","3","2","1","1","1","1","1","1","0","1","2","1","3","1","1","2","1","1","4","0","4","5","1",2,0,18
"8","2","3","11","5",NA,"4","2","1","1","4","2","2","1","2","4","2","2","4","4","4","2","3","4","4","4","1","1","1","1","1","4","2",NA,"4","1","1","1","0","1","1","0","2","1","1","0","2","1","1","1","2","4","1","4","5","1",4,0,18
"9","2","1","2","4","1","3","1","2","3","4","3","1","3","1","4","2","4","1","1","4","3","4","4","4","2","1","1","3","1","2","1","1","1","1","0","1","1","0","1","1","0","2","2","1","0","2","1","1","1","2","3","1","4","3","0",4,0,18
"10","2","3","2","5","2","4","1","4","1","3","4","1","4","3","4","2","4","1","2","2","3","3","4","4","3","3","3","2","4","1","1","1","4","1","1","1","0","0","1","0","0","1","1","1","0","2","1","2","1","1","3","1","3","5","1",2,0,17
